@RELATION tweets-test
@ATTRIBUTE text string
@ATTRIBUTE retweets numeric
@ATTRIBUTE favorites numeric
@ATTRIBUTE dimension {"Governance", "Products & Services", "Performance", "Workplace", "Citizenship", "Innovation", "Leadership"}
@data
"#ThrowbackThursday to @brumosracing's #Rolex24-winning BMW. READ:  ", 23, 12, "Products & Services"
"Today's automotive headlines include the police, Mercedes-Benz, and BMW. Don't miss a thing.  ", 0, 2, "Products & Services"
"Used 2012 #BMW #528, 29,056 miles, listed for $37,991 under used  ", 0, 0, "Products & Services"
"“@TheBeautifulCar: BMW i8 from the back 😩  ass🍑", 0, 0, "Products & Services"
"Used 2014 #BMW #535d, 12,251 miles, listed for $56,777 under used  ", 0, 0, "Products & Services"
"WINTER SALE! Rare Alpine White 09 BMW 650i Convertible Black 20'' rims (san diego) $36000  ", 0, 0, "Products & Services"
"2004 Chrysler Crossfire 3.2  #BMW #Chrysler #Citroen #CarParts ", 1, 0, "Products & Services"
"MT @mrlevine Via @TrueCar Ford F-Series pickup sales over $50K surpass combined BMW 3, 5, 7 Series luxury car sales ", 1, 0, "Products & Services"
"BMW : 3-Series X-DRIVE EDITION 2011 bmw 328 i xdrive awd 3.0 l sunroof push button leath...  ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 1, 2, "Products & Services"
"BMW i8 from the back  @teezmepeas @Cuhleb_JDM @1Sun4Allcom @ZimbrickBMW @BMWAthens ", 0, 0, "Products & Services"
"1985 BMW 635csi  (south of council bluffs) $950  ", 0, 0, "Products & Services"
"#BMW #F650GS (2008-2012) Stainless Steel Sport #Exhaust # ", 0, 0, "Products & Services"
"FOR SALE: A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"2008 CITROEN C4 GRAND PICASSO VTR+ PLUS HDI EGS AUTO BLUE *SPARES OR REPAIRS*  #BMW #Chry... ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 1, 0, "Products & Services"
"From Instagram - BMW M4👍 or 👎•Follow us @smoking_tires for daily pics 🚗•Follow us @smoking_tires for daily pic... ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"Official: BMW shows 670-hp plug-in 5 Series GT concept  ", 0, 0, "Products & Services"
"BMW E30 325i SE M TECH 77K   #BMW #Chrysler #Citroen #CarParts ", 1, 0, "Products & Services"
"54/2005 BMW 116I GREY FULL LEATHERS/CRUISE CONTROL/M6 WHEELS SPARES OR REPAIRS  #BMW #Chr... ", 0, 0, "Products & Services"
"Celebrate Art!  @BMW &amp; Art Basel Launch Art Journey Awards for Emerging Artists  #stupidDOPE ", 0, 0, "Products & Services"
"FOR SALE: 1938 #BMW 328 #Roadster for your collection  ", 0, 1, "Products & Services"
"At  -- The puget sound is gorgeous in the morning. #BMW #seattle #bainbridge #island #m5 ... ", 2, 1, "Products & Services"
"“@holliesusannah: “@BENGVLTIGER: When daddy gets you the wrong color BMW  WHAT THE ACTUAL FUCK THIS IS NOT FUNNY 😡😭", 0, 0, "Products & Services"
"#상록구 #AZT3   milanoboy_boutique #2015 #bmw #x5 ", 0, 0, "Products & Services"
"Part of Paul Walker personal car collection, BMW, Nissan, Supra… (via :  ", 2, 1, "Products & Services"
"Celebrate Art!  @BMW &amp; Art Basel Launch Art Journey Awards for Emerging Artists  #stupidDOPE ", 0, 0, "Innovation"
"FOR SALE: 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"“@mrkevinabbott: Like this. Alfa rule #asalways #proof :-) ;-)  Agree with the Alfa bit but BMW 8%?? Really?", 1, 0, "Products & Services"
"My little sister is up hella proud  now I need to get me a BMW or something making me look bad 💯 ", 1, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"BMW for sale, dm me for info Northwest Suburbs. ", 4, 0, "Products & Services"
"Used 2013 #BMW #X6 M, 16,695 miles, listed for $67,488 under used  ", 0, 0, "Products & Services"
"“@Auto_Porn: BMW concept 😍  so you know how you asked what I want for Christmas.....ya. this. @scottyhiner", 4, 0, "Products & Services"
"BMW E28 5 SERIES CLEANEST AROUND RARE FIND (RICHLAND) $5800  ", 2, 1, "Products & Services"
"For Sale: BMW e36 325i only 54,800 miles! 11 months MOT:…  #uk #classiccars #cars #carsforsale ", 0, 0, "Products & Services"
"For Sale: 1988 BMW 318I GREY E30 Classic: £600.00 (0…  #uk #classiccars #cars #carsforsale ", 0, 0, "Products & Services"
"2010 BMW 520D SE BLACK NEW SHAPE NON RUNNER SPARES ...  #Deals_UK |  ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"Joey Hand dropped from BMW DTM line-up -  #2015DTM #JoeyHand ", 3, 6, "Products & Services"
"Special mentions to hotel Launceston and BMW @LtonCyclingCrit #roxsoltladies ", 8, 4, "Products & Services"
"Table/Mouse Mat &amp; Coaster Set Featuring A BMW Z 3.  … …Or A Picture Of Your Own Car! ", 0, 0, "Products & Services"
"@gmwpodcast &amp; if they going by BMW point on point. He was born in 99 which would make him 15 so he a tenth grader ", 0, 0, "Products & Services"
"1976 BMW 2002 needs a good home (Eugene, OR) $9500  ", 0, 0, "Products & Services"
"2015 BMW 428i Gran Coupe for ‘decent’ people with $46,750 pr ... - htt ... ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"Finally got my bmw😍🙏 ", 47, 9, "Products & Services"
"Citroen xsara Picasso Desire spares, repairs or scrap sold as seen Loughborough   #BMW #C... ", 0, 0, "Products & Services"
"😂😂😂 they took a picture of me, fell asleep in the Back of the #BMW on the way to the 💸 ", 0, 0, "Products & Services"
"The Barrie BMW's won the consolation championship. #hockeyismylife #hockey #belleriver #goteamgo ", 2, 1, "Products & Services"
"Drive german #BMW ", 0, 0, "Products & Services"
"BRAND NEW MERCEDES AND BMW CARS APPROX 7.5cm LONG T...  #Deals_UK |  ", 0, 0, "Products & Services"
"Used 2011 #BMW #328, 61,460 miles, listed for $16,995 under used  ", 0, 0, "Products & Services"
"Since when did bmw sell clothes? #pumastore ", 2, 0, "Products & Services"
"Sweet rides at the #Thriftshop    #cars #Thriftstore #BMW #Mercedes #frugal #Goodwill ", 1, 0, "Products & Services"
"The new BMW 6 Series  @BMWGroup #BMW6 ", 1, 0, "Products & Services"
"How cool is this! Got in my car after the tyre swap and found this neat little @bmw branded power bank on the pas... ", 24, 9, "Products & Services"
"New #AutoParts inventory today: 00 Range Rover, 07 BMW X5 3.0i,  00 Mercedes ML 320, 03 Ford Econoline ", 0, 1, "Products & Services"
"If you haven't drove a bmw you missin out on life.. Drives like nothing else", 0, 0, "Performance"
"“@_jesstaylor_: “@AudreyRobison: Pics of the stunning @_jesstaylor_ 😘  *takes pic w BMW bc basic white girl*", 3, 0, "Products & Services"
"Bmw e46 dvd cartography, specially shaped all for bmw 3 e46: mjHr", 0, 0, "Products & Services"
"Bmw e46 dvd coasting, specially set remedial of bmw 3 e46: pdYr", 0, 0, "Products & Services"
"The bmw leasing is the topmost drag till yield drapery: JEFybZlh", 0, 0, "Products & Services"
"Bmw e46 dvd direction line, specially devised being bmw 3 e46: BjvZ", 0, 0, "Products & Services"
"The bmw leasing is the most planning versus lay down actions: CreOXRxT", 0, 0, "Products & Services"
"The bmw leasing is the outfight custom on route to copyright deftness: QNDwykuk", 0, 0, "Products & Services"
"Owning a bmw is a rose upon appetitiveness, to does the motorcar dvd: SNiQ", 0, 0, "Products & Services"
"BMW 130i", 0, 0, "Products & Services"
"1956 bmw 507: the coheirship touching the stake southeast asian war: njRPMe", 0, 0, "Products & Services"
"How nuts is it that this #BMW #335Ci is 7 years old already? It's Memory Lane meets Rodeo Drive! #ThrowbackThursday ", 0, 0, "Products & Services"
"Get this A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 0, "Products & Services"
"#BMW 6-series (2017): new Six codenamed G15 is lighter, sportier  ", 0, 0, "Products & Services"
"The #BMW M5 celebrated its 30th birthday this year! Let's celebrate it with this #ThrowbackThursday classic. ", 0, 1, "Products & Services"
"BMW 528I SEDAN 6 LAYER WATERPROOF CAR COVER 2010 2011 2012  ", 0, 0, "Products & Services"
"@ParkingWanker Another BMW for you. ", 2, 3, "Products & Services"
"BMW Airhead - Steering Stem Nut - 1974-1984 /6 /7 R75 R80 R90 R100 Fork Triple  ", 0, 0, "Products & Services"
"No training today so I changed the brake fluid on the schnitzel! #BMW ", 4, 0, "Products & Services"
"Top Deals :  #87143 Landmice BMW X6 Car Wireless Computer Mouse - Black #deals$62.35En... ", 0, 0, "Products & Services"
"BMW Genuine OEM Gasket ring 24-11-1-218-851  ", 0, 0, "Products & Services"
" 2015 BMW X6 M Performance PartsSubscribe: ...  ", 0, 0, "Products & Services"
"I don't race, but today I wanna speed on this gloomy day! #lasvegas #weather #cloudy #greysky #bmw #tatted #gloom... ", 0, 0, "Products & Services"
"BMW 6 Series 4 Layer Car Cover Fitted In Out door Water Proof Rain Snow Sun Dust  ", 0, 0, "Products & Services"
"2001 BMW 318I SE SILVER  #BMW #Chrysler #Citroen #CarParts ", 0, 0, "Products & Services"
"2002 BMW E53 X5 3.0L Right Front Outside Door Handle, Silver  ", 0, 0, "Products & Services"
"2015 BMW 2 Series is Ready to Roll Out -&gt;  ", 0, 0, "Products & Services"
"#BMW To Phase Out #CombustionEngines In 10 Years: Report #BaronFunds #cars  ", 1, 1, "Innovation"
"BMW 3 Series?", 5, 11, "Products & Services"
"My pretty baby ", 2, 0, "Products & Services"
"Have you ever tried to fix a scratch?  ", 0, 0, "Products & Services"
"BMW M1 Hommage Concept?", 3, 10, "Products & Services"
"BMW 745LI 6 LAYER WATERPROOF CAR COVER 2002 2003 2004 2005  ", 0, 0, "Products & Services"
"BMW : 1-Series CONVERTIBLE 2011 bmw 135 i convertible turbocharged 6 speed only 29 k m 2...  ", 0, 0, "Products & Services"
"BMW : 1-Series CONVERTIBLE 2011 bmw 135 i convertible turbocharged 6 speed only 29 k m 2...  ", 0, 0, "Products & Services"
"2011 BMW 320D M SPORT 181 GREY - FULL LEATHER - VERY LIGHT DAMAGED SALVAGE   #BMW #Chrysl... ", 0, 0, "Products & Services"
"RT @carspix: White BMW M3. '  &lt;== I'll take one, yes please.", 0, 0, "Products & Services"
"2006 2007 2008 OEM BMW 3 SERIES 325XI 328I 335I HEADLIGHT Left Driver CLEAN!!  ", 0, 0, "Products & Services"
"Mom been letting me whip the BMW", 0, 0, "Products & Services"
"The bmw leasing is the top-notch pursuit so that state tastefulness: iUyRyudK", 0, 0, "Products & Services"
"Bmw e46 dvd gunkholing, specially purposeful with bmw 3 e46: dMmz", 0, 0, "Products & Services"
"The bmw leasing is the triumph over decree up say in defense wale: WUhXYEKj", 0, 0, "Products & Services"
"BMW 520  Spares or Repairs   @frapacelli @RennVR ", 0, 0, "Products & Services"
"FOR SALE: A Splendid 1938 #BMW 328 #Roadster for your collection  ", 0, 1, "Products & Services"
"Just got my new BMW. Here's my first mod ", 1, 0, "Products & Services"
"FOR SALE: 1938 #BMW 328 #Roadster for your collection  ", 1, 1, "Products & Services"
"BMW knows what's up ", 0, 0, "Products & Services"
"Plez RT for Max still stolen from owners #ColneyHeath #Hertfordshire AL4 driven away in white BMW 10/09/14 xx ", 0, 9, "Products & Services"
" Stanniz(TM) BMW M Power Performance Wheel Tyre Tire Metal Alloy Stem Valve Cap &amp; Keychai... ", 0, 0, "Products & Services"
"Oh, and one more time, THERE GOES DAVIS! #WDE ", 8, 7, "Products & Services"
"Students use 3d printing for BMW X3 concept redesign parts  ", 0, 0, "Innovation"
"Chris Harris: “We Were All Wrong, Chris Bangle Was A Prophet” The BMW Blog (Unofficial)  #... ", 0, 0, "Products & Services"
"Used 2004 #BMW #Z4, 85,250 miles, listed for $12,000 under used  ", 0, 0, "Products & Services"
"Top 10 Best BMWs of All Time: On March 7, 2016, BMW will celebrate their…  #BMW #Intterpoint ", 0, 0, "Performance"
"This cream interior 🙏 back seat just for show ar#Jaguar #amg #ford #mazda #subaru #bmw #vw #maserati #lexus #mit... ", 0, 0, "Products & Services"
"Used 2014 #BMW #X3, 6,537 miles, listed for $39,698 under used  ", 0, 0, "Products & Services"
"BMW X5 E53 Shifter Knob Titanium Silver E53 4.6is 4.8is Automatic OEM 01-06  ", 0, 0, "Products & Services"
"1999 BMW 323I SE BLUE  #BMW #Chrysler #Citroen #CarParts ", 0, 0, "Products & Services"
"BMW Serie 5 Touring ", 0, 0, "Products & Services"
"@alex_kuruc i wish I could find bmw to tag him ", 1, 1, "Products & Services"
"Hey, #snow, we could teach you a thing or two about how to #drift. #BMW ", 1, 0, "Products & Services"
"Lil Wayne Gifts His Daughter Two Extremely Expensive Cars For Sweet 16  ", 0, 0, "Products & Services"
"We will service your Audi, Mercedes, VW &amp; BMW to manufacturers specification. #Essex #Share #Rayleigh #Car ", 0, 0, "Products & Services"
"U-Turn: Weekly Recap: BMW rolls out ambitious plug-in hybrid electric plan Greg Migliore #automotive #4vto _4VTO_ ", 0, 0, "Innovation"
"CITROEN GRAND PICASSO C4 - 7seats - EXCL HDI - Very low milage  #BMW #Chrysler #Citroen #... ", 0, 0, "Products & Services"
"ZEDD SL5 19x8.5/19x9.5 WHEELS Silver w/ Lip RIMS FIT BMW E90 E92 325 328 330 335  ", 0, 0, "Products & Services"
"Lil Wayne Gifts His Daughter Two Extremely Expensive Cars For Sweet 16  ", 0, 0, "Products & Services"
"1997 BMW 316I RED  #BMW #Chrysler #Citroen #CarParts ", 0, 0, "Products & Services"
"Guess Who Won 2015 #Ward’s 10 Best #Engines -- Twice?  -  via @bmwblog #BMW ", 2, 0, "Performance"
"BMW i8 spotted in Brussels!  ", 1, 0, "Products & Services"
"BMW Genuine OEM Screw plug 51-71-8-218-323  ", 0, 0, "Products & Services"
"12 years later and our advertising is just as honest. #BMW #TBT ", 0, 0, "Products & Services"
"when your dad lets you drive his BMW", 0, 0, "Products & Services"
"BMW : M3 LEATHER 2009 bmw m 3 sedan paddle shift leather xenons 26 k miles 201017 texas ...  ", 0, 0, "Products & Services"
"Report: Tesla in talks with BMW about batteries, charging collaborations Chris Bruce #automotive #4vto _4VTO_ ", 1, 0, "Products & Services"
"BMW Hopes to Jumpstart Slow i3 EV Sales in Germany -  #2014BMWI3 #BMWI3 ", 2, 1, "Performance"
"@Daniel_Haghjou Where's your BMW at though?👀❄️⛄️ ", 18, 0, "Products & Services"
"BMW Hopes to Jumpstart Slow i3 EV Sales in Germany -  #2014BMWI3 #BMWI3 ", 3, 3, "Products & Services"
"I liked a @YouTube video from @drive  Driving Turner Motorsports' BMW Z4 GTD - /MATT FARAH", 0, 0, "Products & Services"
"BMW : M5 M5 97 245 msrp smg comfort access logic 7 multi function seats navi new clutch  ", 0, 0, "Products & Services"
"“@TheBeautifulCar: BMW concept 😍 ", 0, 0, "Products & Services"
"Not a modern art fan? BMW’s functional masterpieces might just move you  ", 0, 0, "Citizenship"
"BMW : 7-Series 740i 7 Series BMW 740i Sedan-M Sport New 4 dr Automatic Gasoline 3.0L ... -  ", 3, 2, "Products & Services"
"BMW : M5 M5 97 245 msrp smg comfort access logic 7 multi function seats navi new clutch  ", 0, 0, "Products & Services"
"BMW 328 Roadster ", 53, 59, "Products & Services"
"BMW's Fast Charging Stations Will Take On Tesla in 2015  ", 1, 0, "Products & Services"
"BMW mobile video campaign drives traffic     #videomarketing #luxurymarketing ", 0, 0, "Products & Services"
"Happy #Thanksgiving from everyone here at #BMW of #Bakersfield! We hope everyone drives safe &amp; eats well tomorrow! ", 0, 0, "Products & Services"
"BMW M3 Touring (E46) #FotosCoches ", 0, 1, "Products & Services"
"BMW : X3 3.0i Sport Utility 4-Door 2005 bmw x 3 3.0 i sport utility 4 door 3.0 l  ", 0, 0, "Products & Services"
"“@TheBeautifulCar: BMW concept 😍  would die", 1, 0, "Products & Services"
"Auto BMW E81/ E82/ E87/ E88 DVD Player with GPS ATSC CAN BusStarting at: $651.59  $601. ", 0, 0, "Products & Services"
"BMW WALLET E46 E90 E36 E60 M3 M5 X5 1 3 5 6 M SERIES For Owners Handbook Manuals  ", 1, 0, "Products & Services"
"Used 2006 #BMW #X5, 115,890 miles, listed for $13,990 under used  ", 0, 0, "Products & Services"
"Haynes BMW 3 SERIES E90 E91 318 320 325 330 i d Owners Service Handbook Manual  ", 1, 0, "Products & Services"
"McConnell stepping up to BSB with Smiths Racing BMW.  ", 0, 0, "Products & Services"
"Get this splendid 1938 #BMW 328 #Roadster for your collection  ", 1, 0, "Products & Services"
"How do you make Black Friday better? In a # ", 1, 2, "Products & Services"
"Loaner car from #bmw while they have my #e90 in the shop (again). #328xi #gt  ", 1, 0, "Products & Services"
"Haynes BMW 3 SERIES E90 E91 318 320 325 330 i d Owners Service Handbook Manual  ", 1, 0, "Products & Services"
"Power play: The new #BMW X5 M and new BMW X6 M. #BMWM #BMWX5M #BMWX6M ", 0, 0, "Products & Services"
"SLOT IT SICA10F MCLAREN F1 GTR BMW FINA #42 LEMANS 1997 BRAND...  |  ", 0, 0, "Products & Services"
"Official: BMW 2 Series gets 3-cylinder Mini engine #4vto #export #cars ", 0, 0, "Innovation"
"FLY 038103 BMW M3 E30 Marlboro #43 4h. Jarama 1987 Brand New ...  |  ", 0, 0, "Products & Services"
"This render of the #bmw #m2 looks amazing in purple 😍 ", 0, 0, "Products & Services"
"How do you like the new look of the 2015 BMW X6 M? ", 3, 1, "Products & Services"
"@CredoFinance the bike finance specialists is loving the BMW bike stand at @motorcyclelive #bikefinance ", 1, 0, "Products & Services"
"#happycustomer collecting her #BMW X3 in Alpine White from Mark @MarshallGrimsby #newcar ", 1, 0, "Products & Services"
"BMW 2 Series gets 3-cylinder Mini engine - Autoblog #Used-cars,  View thousands of U... ", 1, 0, "Products & Services"
"We wish you a happy #TBT with this beautiful Dunlop-shod @bmw. #ThrowbackThursday ", 0, 1, "Products & Services"
"BMW 318i  #BMW #Chrysler #Citroen #CarParts ", 0, 0, "Products & Services"
"BMW 328i (E46) by  ", 0, 0, "Products & Services"
"BMW M3 sedan and M4 coupe launched in India -  ", 0, 0, "Products & Services"
